,Unnamed: 0,Y,X1,X2,X3,X4,X5,X6,Lat,Longi
645,646,12.17018637,17.64,38,3,1,1,0.020476678999999998,38.041771999999995,-121.3456
646,647,11.80110741,15.52,20,3,0,0,0.009382959,38.033316,-121.35426399999999
647,648,11.12726298,8.16,87,2,0,0,0.010698852,37.957352,-121.324152
648,649,12.68230682,26.38,3,4,0,1,0.01351176,37.97818,-121.357904
649,650,11.25803322,9.99,59,2,1,0,0.02010033,37.956596000000005,-121.31381599999999
650,651,11.32055357,10.77,60,2,0,0,0.016414367,37.960988,-121.31941599999999
651,652,11.55214618,15.41,26,4,0,1,0.054404318,38.024468,-121.302792
652,653,11.54248427,9.95,57,2,0,0,0.041943045,37.977148,-121.29823200000001
653,654,11.67419361,14.24,59,3,1,0,0.042682982,37.990864,-121.302624
654,655,11.71177632,14.31,24,3,0,0,0.011068716999999999,38.026928000000005,-121.350048
655,656,12.05815252,20.61,43,3,0,0,0.013327707,38.004844,-121.33928799999998
656,657,11.66950177,11.97,36,3,0,1,0.110174569,38.0466,-121.25153600000002
657,658,11.607781,12.42,14,3,1,1,0.001528018,37.998596,-121.35280800000001
658,659,11.849397699999999,16.44,19,3,0,1,0.037618188999999996,38.040915999999996,-121.326952
659,660,12.07254125,18.71,28,3,0,0,0.007207875,37.995262,-121.35762
660,661,11.88448902,22.26,19,4,1,0,0.008429689,38.033815999999995,-121.35547199999999
661,662,12.27816072,19.31,42,3,0,1,0.013094716999999999,38.00482,-121.339528
662,663,11.81303006,16.36,43,3,0,0,0.027350657,38.021248,-121.330496
663,664,12.19602231,24.06,27,4,0,0,0.00628916,37.995564,-121.356752
664,665,11.32659589,11.03,58,2,1,0,0.026622134,37.970452,-121.31208000000001
665,666,11.32659589,8.89,48,2,1,0,0.040796169,37.98686,-121.303128
666,667,12.01370075,15.16,31,3,1,1,0.003390312,38.002303999999995,-121.3562
667,668,11.64395373,14.09,34,3,1,0,0.011582803999999999,38.016188,-121.34544
668,669,11.65702581,13.95,18,3,0,0,0.029812771000000002,38.035496,-121.333248
669,670,11.68266824,10.76,5,3,0,0,0.006844561999999999,37.989928000000006,-121.355216
670,671,11.96081129,19.94,8,3,0,0,0.02566076,38.05648,-121.34561599999999
671,672,12.34583459,21.86,11,3,0,1,0.00047887699999999995,38.014584,-121.35772800000001
672,673,11.50034668,10.64,0,3,1,0,0.011937358,37.959776,-121.32374399999999
673,674,11.50791292,12.43,49,2,0,0,0.012792721000000002,37.97276,-121.32773600000002
674,675,12.20582261,23.72,23,5,0,0,0.005141043,38.0127,-121.36200000000001
675,676,12.577636199999999,28.77,12,4,0,0,0.010598221000000001,37.998816,-121.339928
676,677,11.40700924,11.12,50,2,1,0,0.016228348,37.966072,-121.32153600000001
677,678,11.75587164,12.93,44,3,0,1,0.042264905,38.003908,-121.30799999999999
678,679,11.80559508,16.65,32,3,0,0,5e-05,38.001388,-121.352176
679,680,11.27720313,10.47,48,2,0,0,0.0030791079999999997,37.966432,-121.342312
680,681,12.11724143,18.85,7,4,0,0,0.014456684,38.055671999999994,-121.35728799999998
681,682,12.5998025,23.9,3,4,0,0,0.012833105,37.973664,-121.35547199999999
682,683,11.75194237,11.88,15,3,0,0,0.0035124970000000003,37.994972,-121.35356000000002
683,684,11.74324322,16.44,20,3,1,0,0.033470627,38.031956,-121.32799999999999
684,685,11.51242534,15.11,15,3,1,0,0.039758304,38.04172,-121.324968
685,686,11.827736199999999,20.26,57,3,0,0,0.022007007999999998,37.973528,-121.318176
686,687,11.73566894,18.77,20,3,0,0,0.040661052,38.037224,-121.322304
687,688,11.65225253,11.01,48,3,0,0,0.029360069,38.009128000000004,-121.32376799999999
688,689,11.8702502,17.7,45,4,0,0,0.025113187000000002,38.016252,-121.331
689,690,11.84904049,15.22,38,3,0,0,0.01269447,38.015628,-121.34403999999999
690,691,11.76756768,12.9,83,2,1,0,0.033329578,37.970924,-121.30508799999998
691,692,11.66564655,13.0,39,3,0,0,0.046004218,38.001784,-121.3032
