"","Y","X1","X2","X3","X4","X5","X6","Lat","Longi"
"382",11.76679219,18,21,4,1,0,0.031532843,38.040976,-121.33348
"383",11.66134547,14,20,3,1,0,0.020768329,37.995344,-121.327744
"384",11.9511804,15,9,3,0,0,0.008392478,38.029032,-121.353704
"385",10.94199592,8,81,3,0,0,0.04890048,37.979788,-121.291792
"386",11.28915672,13,47,3,1,0,0.019116298,38.004876,-121.333112
"387",11.90834024,22,9,3,0,0,0.060569948,37.997092,-121.285856
"388",11.58988651,15,79,3,0,0,0.026889162,37.96384,-121.309296
"389",11.48246626,10,3,3,0,0,0.068296186,38.007496,-121.281528
"390",11.97665948,25,8,3,1,0,0.054547712,38.035332,-121.306744
"391",11.31447453,12,49,3,0,1,0.007090759,37.96044,-121.329176
"392",11.71586631,16,16,3,1,0,0.016257765,38.032716,-121.346688
"393",11.61728548,15,22,3,1,0,0.038014264,38.036892,-121.325008
"394",11.64395373,13,18,3,0,0,0.038018402,38.03756,-121.325256
"395",11.4019939,12,73,2,0,0,0.019919036,37.958052,-121.31456
"396",11.55214618,12,17,3,0,0,0.071180412,38.0161,-121.281696
"397",11.59910316,14,24,3,0,0,0.010764376,38.02594,-121.35
"398",11.7829526,14,5,3,0,0,0.016174032,38.056148,-121.355632
"399",11.15625052,11,20,3,0,0,0.071538414,38.022596,-121.283768
"400",11.7829526,14,6,3,0,0,0.014610838,38.054732,-121.356768
"401",11.73566894,15,9,3,1,0,0.014453822,38.032736,-121.348624
"402",11.66134547,14,82,2,0,0,0.035331266,37.971908,-121.30332
"403",12.4292162,21,50,3,0,0,0.029891399,37.968332,-121.307784
"404",12.09514108,16,2,3,0,0,0.008592533,37.9918,-121.357792
"405",11.14186178,9,46,2,0,0,0.010133829,37.967264,-121.350168
"406",11.27720313,11,33,3,1,0,0.042077438,38.031196,-121.318512
"407",11.98292909,18,22,3,0,0,0.021204098,37.991644,-121.32588
"408",11.46845097,11,72,2,0,0,0.018610212,37.960256,-121.316792
"409",11.76756768,16,43,3,0,0,0.024334176,38.025184,-121.335208
"410",11.28978191,13,52,3,1,0,0.060998785,37.973112,-121.276336
"411",12.44901882,25,20,4,0,1,0.109002277,38.044448,-121.251976
"412",11.88449592,22,20,4,0,0,0.02047892,38.033056,-121.342304
"413",11.32357929,11,45,3,1,0,0.012642671,38.002652,-121.339192
"414",11.9316358,25,69,3,0,0,0.028723901,38.02056,-121.328768
