,Admin2,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,County,State,TotalPop,Transit,WorkAtHome
2371,Roane,Tennessee,35.84923189,-84.52458689,94,0,0,Roane,Tennessee,53162.0,0.0,3.0
2372,Roane,West Virginia,38.71622686,-81.35243568,12,1,0,Roane,West Virginia,14636.0,0.0,3.8
2373,Roanoke,Virginia,37.26865804,-80.06396753,341,6,0,Roanoke,Virginia,93633.0,0.4,3.7
2375,Roberts,South Dakota,45.62975048,-96.94672673,58,0,0,Roberts,South Dakota,10318.0,0.7,7.4
2378,Robertson,Tennessee,36.52454807,-86.87346725,984,13,0,Robertson,Tennessee,67426.0,0.6,3.7
2379,Robertson,Texas,31.02539637,-96.51272246,115,0,0,Robertson,Texas,16532.0,0.0,2.5
2380,Robeson,North Carolina,34.64244496,-79.10250529999998,1708,44,0,Robeson,North Carolina,134871.0,0.1,1.5
2381,Rock,Minnesota,43.67482683,-96.25296832,35,0,0,Rock,Minnesota,9563.0,0.8,7.5
2383,Rock,Wisconsin,42.67151616,-89.07147900000002,1071,24,0,Rock,Wisconsin,160727.0,0.5,4.1
2384,Rock Island,Illinois,41.46613806,-90.57042164,1232,30,0,Rock Island,Illinois,147161.0,1.6,2.8
2385,Rockbridge,Virginia,37.81204314,-79.44605905,36,0,0,Rockbridge,Virginia,22444.0,0.2,5.6
2386,Rockcastle,Kentucky,37.36642393,-84.31176452,34,0,0,Rockcastle,Kentucky,16942.0,0.6,2.0
2387,Rockdale,Georgia,33.65145002,-84.02202167,743,11,0,Rockdale,Georgia,86901.0,1.8,3.6
2388,Rockingham,New Hampshire,42.98499744,-71.12883377,1531,92,0,Rockingham,New Hampshire,299006.0,0.9,6.2
2389,Rockingham,North Carolina,36.39593137,-79.77504841,310,2,0,Rockingham,North Carolina,92300.0,0.2,2.9
2390,Rockingham,Virginia,38.51006137,-78.87260325,799,15,0,Rockingham,Virginia,77785.0,0.3,5.3
2391,Rockland,New York,41.15027894,-74.02560498,13733,670,0,Rockland,New York,320688.0,8.6,4.7
2392,Rockwall,Texas,32.89779518,-96.40771592,491,17,0,Rockwall,Texas,85536.0,0.5,5.7
2394,Rogers,Oklahoma,36.37004357,-95.60406759,359,7,0,Rogers,Oklahoma,89190.0,0.1,3.1
2395,Rolette,North Dakota,48.77245354,-99.84097493,12,0,0,Rolette,North Dakota,14498.0,0.1,7.6
2398,Roosevelt,New Mexico,34.02097406,-103.4799493,81,1,0,Roosevelt,New Mexico,19908.0,0.1,2.2
2399,Roscommon,Michigan,44.33473082,-84.61067651,34,0,0,Roscommon,Michigan,24068.0,1.1,3.8
2400,Roseau,Minnesota,48.77501878,-95.81079919,30,0,0,Roseau,Minnesota,15615.0,0.9,5.2
2401,Rosebud,Montana,46.23397237,-106.72928799999998,14,1,0,Rosebud,Montana,9352.0,0.3,7.2
2402,Ross,Ohio,39.33705391,-83.06000914,154,3,0,Ross,Ohio,77334.0,0.7,1.8
2403,Routt,Colorado,40.48596505,-106.9905548,84,6,0,Routt,Colorado,23606.0,2.5,8.2
2404,Rowan,Kentucky,38.19484205,-83.42088935,34,0,0,Rowan,Kentucky,23608.0,1.8,2.5
2405,Rowan,North Carolina,35.64003916,-80.52446628,1547,44,0,Rowan,North Carolina,138361.0,0.3,3.7
2406,Runnels,Texas,31.8314342,-99.97616148,25,0,0,Runnels,Texas,10445.0,0.0,4.3
2407,Rush,Indiana,39.62002287,-85.4655599,63,3,0,Rush,Indiana,16991.0,0.2,5.3
